,sepal_length,sepal_width,petal_length,petal_width,species
0,5.1,3.5,1.4,0.2,setosa
1,4.9,3.0,1.4,0.2,setosa
2,6.2,2.9,4.3,1.3,versicolor
3,5.9,3.0,4.2,1.5,versicolor
4,6.7,3.1,5.6,2.4,virginica
5,6.5,3.0,5.8,2.2,virginica
6,5.0,3.4,1.5,0.2,setosa
7,6.0,2.7,5.1,1.6,versicolor
8,6.9,3.2,5.7,2.3,virginica
9,5.5,2.6,4.4,1.2,versicolor
10,4.7,3.2,1.3,0.2,setosa
11,5.3,3.7,1.5,0.2,setosa
12,6.1,2.8,4.0,1.3,versicolor
13,5.6,2.9,3.6,1.3,versicolor
14,6.8,3.0,5.5,2.1,virginica
15,7.1,3.0,5.9,2.1,virginica
16,4.8,3.4,1.6,0.2,setosa
17,5.7,2.8,4.5,1.3,versicolor
18,6.4,2.8,5.6,2.2,virginica
19,6.3,3.3,6.0,2.5,virginica
